# UT	time_lag 	xerr_lo 	xerr_hi
2021-05-09-15:13:27 9.574024032048806 0.21759145527383733 0.2175914552738356
2021-04-02-15:56:04 19.298571428572423 0.977142857142909 1.4657142857143584
2021-02-02-01:46:46 20.541735647543106 3.160267022698941 3.7923204272387254
2021-02-02-01:37:55 29.032502002688705 1.3077703604814743 1.3077703604814743
2021-02-10-22:44:23 46.394531375196266 1.1206408544733384 1.344769025368009
2021-02-01-01:58:54 50.31305740991158 3.9227129506032785 2.5582910547412645
2021-02-01-02:16:36 67.47360213622439 3.7267396528728596 2.9421628838469935
2021-02-01-01:38:40 68.97234712954965 8.02401068091295 5.463156208281167
2021-04-02-17:06:54 70.62292436975132 1.8042352941177313 1.8042352941177453
2021-02-01-01:57:38 73.19775700939235 2.134045393859835 1.7072363150878733
2021-04-02-17:10:41 74.47341176470945 1.8998319327731967 1.5198655462185517
2021-04-02-14:21:12 76.42779172234484 2.346467289721113 1.0056288384518997
2021-05-09-15:10:56 76.57817890525526 4.093265687586029 4.263818424568772
2021-04-02-17:09:25 77.67070588235688 1.730823529411854 1.298117647058894
2021-04-02-16:02:23 84.28870588235729 1.8175462184874953 1.363159663865618
2021-05-09-14:26:40 88.52336448603751 1.8798397863830363 3.0761014686267742
2021-02-10-23:02:05 103.49513484652773 1.7976822429917882 2.054493991990633
2021-05-09-14:44:22 117.52194392530846 4.105570093460548 3.0791775700954176
2021-02-10-23:16:00 124.62825100141397 2.560854472631782 1.5365126835790721
2021-03-03-18:31:40 127.5004753004815 4.344138851805152 4.778552736985686
2021-05-09-14:31:43 127.99632576777165 3.0213724966641347 2.746702269694673
2021-02-01-01:42:27 131.79864352478302 2.2194072096142214 3.2437489986669177
2021-04-02-15:59:51 145.25929411765395 1.8783529411765532 1.8783529411765532
2021-05-09-15:28:38 149.51117757018864 3.079177570095432 1.8817196261694258
2021-02-10-22:36:48 337.8760801070234 18.63690253672745 8.55104939920437
